item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
B/12	[IN-07 + IN-11 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	순차 배정→최적성 반박	 주어진 실행→최소 구성과 대안	현재 코드는 요청을 담을 수 있는 첫 칸을 선택한다. 이것이 승인 요청 수를 항상 최대화하는지, 양의 정수 용량의 칸2개와 요청2개로 반례를 제시하시오. 같은 요청 순서에서 더 나은 칸 선택도 보이고, 칸이나 요청이 하나뿐이면 왜 반례를 만들 수 없는지 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#12	REVIEW
B/13	[IN-10 + IN-13 + IN-06 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	주어진 자료→분기 커버 자료 설계	 값 추적→비교 연산 구별	현재 데이터에서는 모든 길이3 구간합이 같아 >와 >= 조건의 차이를 한쪽 경우로만 관측한다. 길이5이고 원소가0..9인 리스트를 설계하여, 시작0의 구간합보다 나중 구간합이 크고 그 최댓값은 정확히 두 구간에서 나오게 하시오. >와 >=에서 각각 반환되는 start와 best를 쓰시오.	output/260910/260910_02_info_composite_b_questions_review.md#13	REVIEW
B/14	[IN-14 + IN-19 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	예시 호출→길이별 전체 분류	 문자열 합성→회전의 복원조건	길이 L인 문자열의 글자들이 모두 서로 다르다고 하자. join을 두 번 적용해 원래 문자열이 되는 L을 모두 구하시오. 길이가0인 경우도 허용하고, L>4인 경우는 두 번의 이동량으로 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#14	REVIEW
B/15	[IN-19 + IN-08 + IN-09 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	탐색 결과→중복시 요구 변경	 추적→정확한 탐색 수정	정렬된 리스트에서 key가 여러 번 나타나면 locate는 가장 왼쪽 위치를 항상 반환하는가? 길이3 반례를 제시하시오. 같음을 발견해도 더 왼쪽을 계속 검사하도록 코드 수정 방법을 설명하시오. 후보 답과 탐색 구간을 어떻게 유지해야 하는지 포함하시오.	output/260910/260910_02_info_composite_b_questions_review.md#15	REVIEW
B/16	[IN-22 + IN-11 + IN-13 + IN-07 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	주어진 점화 실행→국소 선택 반박	 계산 순서→부분문제 의미 정당화	표의 꼭대기에서 한 행 내려갈 때 열 j 또는 j+1로 이동하며 방문한 값의 합을 구한다. 각 단계에서 바로 아래 두 값 중 큰 값으로 이동하는 규칙이 최대 합을 보장하지 않음을 현재 표로 보이시오. 제시 코드가 아래 행부터 갱신해야 하는 이유도 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#16	REVIEW
B/17	[IN-03 + IN-04 + IN-06 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	상태 추적→정보 손실 반례	 분기→접두 홀짝의 동치 표현	commands가0과1로만 이루어졌다고 하자. 최종 on만으로 lit을 복원할 수 있는가? 길이가2이고 최종 on이 같지만 lit이 다른 두 입력을 제시하시오. 이어서 각 i가 lit에 들어갈 필요충분조건을 commands의0..i 부분에 포함된1의 개수로 표현하시오.	output/260910/260910_02_info_composite_b_questions_review.md#17	REVIEW
B/18	[IN-08 + IN-09 + IN-02 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	출력→종료 보장	 입력 전제→반례 및 반복 상한	a의 모든 원소가 양의 정수라면 반복이 반드시 끝나는 이유를 설명하시오. 원소0을 허용하면 종료를 보장할 수 없는 가장 짧은 반례를 제시하시오. 길이가n일 때 양수 전제 아래 반복 횟수의 최댓값과 그 값을 달성하는 입력도 쓰시오.	output/260910/260910_02_info_composite_b_questions_review.md#18	REVIEW
B/19	[IN-21 + IN-10 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	정상 재귀→실패 신호 수정 영향	 개별 반례→길이별 일반식	r==-1일 때 -1을 반환하는 두 줄을 없애고 항상 r+1을 반환하면 어떤 오류가 생기는지 key가 없는 길이1 입력으로 보이시오. key가 없는 길이 n 입력에서는 잘못된 반환값이 무엇인지 구하고, 같은 변경이 key가 있는 입력에서도 항상 틀리는지 판단하시오.	output/260910/260910_02_info_composite_b_questions_review.md#19	REVIEW
B/20	[IN-22 + IN-06 + IN-03 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	집계 추적→요약 정보의 충분성	 초기화 위치→구별 자료	각 행에 들어 있는 짝수 개수의 전체 합만 알면 rows를 구할 수 있는가? 행2개·열2개인 정수 표 두 개를 설계하여 전체 짝수 개수는2로 같지만 rows는 다르게 하시오. 각 행마다 count를0으로 초기화하지 않는 수정도 한 표에서 반박하시오.	output/260910/260910_02_info_composite_b_questions_review.md#20	REVIEW
B/21	[IN-19 + IN-10 + IN-13 + IN-11 + IN-22 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	검사 실행→검출과 복구 구별	 한 번 수정→재실행 불변성	valid(row)가 거짓이면 마지막 합계 칸만 틀렸다고 단정할 수 있는가? 검사 결과는 같지만 실제로는 자료 칸이 틀린 상황을 한 행으로 설명하시오. 이어서 현재 수정 절차를 한 번 실행한 표에 다시 실행하면 fixed가 빈 리스트가 되는 이유를 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#21	REVIEW
B/22	[IN-13 + IN-12 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	실행→조작 대체의 동치성	 자료 이동→보존량 검증	한 번에 최댓값을 모두 지우는 방식으로 a.remove(m)를 바꾸면 의도한 '큰 값 두 개를 하나씩 꺼내기'와 동치인가? 현재 리스트로 두 번 반복한 결과 차이를 설명하시오. 원래 방식에서 a와 b의 합계를 더한 값이 처음 리스트 합과 같은 이유도 쓰시오.	output/260910/260910_02_info_composite_b_questions_review.md#22	REVIEW
B/23	[IN-06 + IN-26 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	상태 추적→과거 최대와 현재 길이 구별	 같은 요약→다른 종료 상태	정수 리스트에서 n>=3인 최장 연속 구간의 길이가 같으면 마지막 run도 항상 같은가? 길이4이고 적격 원소 수가 같은 두 입력으로 반박하시오. best를 if가 아니라 매 회차 best=run으로 바꾸면 어떤 양을 계산하는지도 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#23	REVIEW
B/24	[IN-08 + IN-09 + IN-11 + IN-03 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	병합 추적→종료 조건 오류	 부분 결과→완성 코드 정당화	정렬된 두 리스트를 모두 합치려는데 while의 and만 or로 바꾸면 되는가? 오류가 나는 가장 작은 비어 있지 않은 두 리스트를 제시하시오. 원래 반복은 유지하면서 마지막에 남은 원소를 처리하는 코드를 쓰고 정렬이 유지되는 이유를 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#24	REVIEW
B/25	[IN-15 + IN-08 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	경로 추적→유한 종료 증명	 시작 복귀→순환 구조 반례	행 수가 n≥1이고 각 다음 주소 t[pos][0]가0..n-1 안이라고 하자. 시작 주소0에서 반복이 최대 n회 안에 끝나는 이유를 설명하시오. seen 검사 대신 pos==0으로 돌아올 때만 종료시키면 실패하는3행 표를 설계하시오. 실제 반복 방문 주소와 원래 코드가 세는 합도 쓰시오.	output/260910/260910_02_info_composite_b_questions_review.md#25	REVIEW
