item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
A/11	[IN-22 + IN-15 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	주어진 순서→순서 영향 시험	 출력 추적→의존성을 드러내는 반례	행들을 서로 바꾸어도 answer가 항상 같다는 주장에 대해 반례를 설계하시오. 각 행은 양의 정수 2개, 첫 번째 값들은 서로 다르고, limit의 초기값은4이다. 행 2개만으로 정상 순서와 뒤집은 순서의 answer가 달라지게 하고, 두 상태 변화를 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#11	REVIEW
A/12	[IN-02 + IN-06 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	수치 추적→보존 관계·일반식	 대입 순서→수정 동치성	초기 a=p,b=q라 하고 반복에 쓰는 수를 차례로 u,v,w라 하자. 각 회차에서 a+b가 변하지 않음을 보이고, 세 회차 후 a,b를 p,q,u,v,w로 나타내시오. 임시 변수 old를 없애고 마지막 대입을 b=a+k로 하면 같은 보존 관계가 일반적으로 성립하는지도 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#12	REVIEW
A/13	[IN-19 + IN-10 + IN-13 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	두 호출→반복 전체의 불변량	 결과값→잘못된 정당화 반박	cut을 리스트 길이가 1이 될 때까지 반복한다고 하자. 초기 리스트는 비어 있지 않고 정수만 들어 있다. 마지막 한 값이 원래 최댓값임을 설명하시오. 값이 같을 때의 처리도 포함하고, '매번 최솟값을 지운다'라는 설명이 틀리는 반례를 제시하시오.	output/260910/260910_01_info_composite_a_questions_review.md#13	REVIEW
A/14	[IN-14 + IN-06 + IN-01 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	추적→최종 상태와 이력의 정보 차이	 한 실행→동일 끝상태 반례	길이5의 text에서 move 세 개의 순서를 바꾸면 최종 k는 같지만 result는 다를 수 있다. 그 이유를 누적합으로 설명하고 [2,4,1]과 그 재배열 하나로 입증하시오. 또한 모든 이동을 마친 최종 k만으로 result를 하나로 결정할 수 있는지 판단하시오.	output/260910/260910_01_info_composite_a_questions_review.md#14	REVIEW
A/15	[IN-19 + IN-04 + IN-02 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	특정 입력→일치 영역 전체	 순서 비교→분기 경계 역산	x를 임의의 정수로 바꾸어 g(f(x))와 f(g(x))가 같아지는 x를 모두 구하시오. x≤3, 3<x≤5, x>5로 구간을 나누어 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#15	REVIEW
A/16	[IN-15 + IN-22 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	주어진 값→모든 입력 동치성	 임시값 보존→주소 겹침 반례	정수로 된 3×3 표 t에서 각 행의 value가 항상 '수정 전 대각 원소'를 뜻하도록 하려 한다. value 대입을 지우고 t[i][0]=t[i][i]+t[i][-1] 한 줄로 바꾸어도 동치인지 설명하시오. 반대로 먼저 t[i][0]=t[i][-1]을 하고 그 뒤 t[i][0]+=t[i][i]를 하면 틀리는 행과 이유를 제시하시오.	output/260910/260910_01_info_composite_a_questions_review.md#16	REVIEW
A/17	[IN-15 + IN-11 + IN-06 + IN-09 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	이동 표 계산→가능성 판정	 전체 경로→양끝 관계 도출	원소가 0 또는1인 비어 있지 않은 states에서 counts[0][1]-counts[1][0]를 첫 원소와 마지막 원소만으로 나타내시오. 이 관계를 이용해 [[0,3],[1,0]]이라는 counts가 나올 수 있는지 판정하고 이유를 쓰시오.	output/260910/260910_01_info_composite_a_questions_review.md#17	REVIEW
A/18	[IN-08 + IN-01 + IN-19 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	함수 추적→종료 보장	 반복 계산→보존 나머지로 결과 결정	digits를 양의 정수에 반복 적용해 한 자리 수가 될 때 멈춘다. n≥10일 때 digits(n)<n임을 십진 자리값으로 설명하시오. 또한 digits(n)과 n을9로 나눈 나머지가 같음을 이용해 n=275의 마지막 한 자리 값을 구하시오.	output/260910/260910_01_info_composite_a_questions_review.md#18	REVIEW
A/19	[IN-07 + IN-09 + IN-11 + IN-02 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	순차 추적→순서 교환 전제	 고정 구간→최소 규모 반례	원소가 서로 다른 리스트에 대해, 두 구간 뒤집기의 순서를 바꾸어도 결과가 같은지 판단하시오. 서로 겹치지 않는 두 구간이면 항상 같음을 설명하고, 겹치는 두 구간의 경우 길이3 리스트로 반례를 제시하시오. 구간 양끝은 모두 포함한다.	output/260910/260910_01_info_composite_a_questions_review.md#19	REVIEW
A/20	[IN-22 + IN-15 + IN-12 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	출력 계산→목표 출력의 조작 역설계	 열별 합성→후보 전수 배제	열 j 하나의 위·아래 값을 서로 바꾸는 조작을 정확히 한 번 한다. 현재 표에서 out이 [5]가 되게 하는 열이 있는지 판정하시오. 없다면 위·아래를 바꿀 수 있는 최소 열 개수와 그 열 번호들을 모두 구하고, 더 적게는 불가능함을 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#20	REVIEW
A/21	[IN-19 + IN-04 + IN-06 + IN-09 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	제공 코드 실행→정확성 전제	 정렬 보장→최소 반례	missing이 '리스트에 없는 가장 작은 양의 정수'를 항상 반환하려면 입력에 어떤 정렬 전제가 필요한지 설명하시오. 양의 정수로 된 비내림차순 리스트(중복 허용)에서 맞는 이유와, 정렬 전제를 빼면 틀리는 가장 짧은 반례를 제시하시오.	output/260910/260910_01_info_composite_a_questions_review.md#21	REVIEW
A/22	[IN-11 + IN-09 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	추적→필요조건과 충분조건 구별	 같은 빈도→다른 결과 반례	입력을 [1,2,2,1]과 [1,2,1,2]로 각각 바꾸어 최종 out을 구하시오. '각 값의 등장 횟수가 짝수이면 마지막 out은 항상 빈 리스트'라는 주장을 판정하고, 참인 필요조건 '최종 out이 비었으면 입력 길이는 짝수'를 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#22	REVIEW
A/23	[IN-06 + IN-26 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	고정 결과→조건 제거 영향	 특정 반복→경계에 따른 동치 조건	if의 first==0 부분을 삭제하면 어떤 의미의 회차가 저장되는가? i가1부터 m까지 도는 일반 경우에서 원래 프로그램과 변경 프로그램의 first가 같아지는 조건을, 임계값 이상이 처음 되는 회차와 m의 관계로 나타내시오. 임계값 이상이 한 번도 되지 않는 경우도 포함하시오.	output/260910/260910_01_info_composite_a_questions_review.md#23	REVIEW
A/24	[IN-08 + IN-14 + IN-03 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	출력 추적→판정식 설계	 종료 상태→정보 충분성 검토	이 반복을 사용해 문자열이 앞뒤로 같은지 판정하려 한다. 원래 길이를 L에 저장했다고 할 때, 반복 종료 후 same과 L만으로 판정하는 식을 제시하고 빈 문자열과 홀수 길이도 포함해 정당화하시오. 남은 문자열 길이만으로 판정할 수 없는 반례도 쓰시오.	output/260910/260910_01_info_composite_a_questions_review.md#24	REVIEW
A/25	[IN-22 + IN-13 + IN-19 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	정해진 양수 표→입력영역 확대	 실행→안전한 초기화 설계	표에는 행이 한 개 이상 있다. 정수 원소를 가진 비어 있지 않은 행들을 허용하면 best=-1 초기화는 항상 안전한가? 반례 하나를 제시하고, 음수 점수와 동점까지 처리하도록 초기화와 반복 시작 위치만 고치시오. 같은 최고 점수이면 첫 행을 선택해야 한다.	output/260910/260910_01_info_composite_a_questions_review.md#25	REVIEW
