item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
11	IN-17	정보보안의 3요소는 기밀성·무결성·가용성이다	요구 행동: 용어 조합 고르기 → 실제 상황과 요소의 매칭	자극: 용어 나열 → 실생활 사례 서술 3건	기출은 지어낸 낱말(유용성·기반성·돌출성)을 걸러내는 어휘 판별이지만 이 문항은 세 사례를 각각 해석해 요소에 배정해야 해 인지 조작이 식별에서 적용으로 바뀐다	EX-info-20252M 선택 3	PASS
12	IN-18	CCL 조건 기호는 각각 하나의 허락·제한을 뜻하며 조합될 수 있다	방향: 조건 표기→설명 매칭 → 이용 의도 서술→조건 표기 역산	자극: 조건 기호 제시 → 실제 공개 상황의 의도 서술 제시	기출은 조건 표기의 뜻을 아는지 묻지만 이 문항은 이용 의도 서술에서 조건 표기를 역으로 짚게 한다(재설계 260908 — 초안은 기출 6번과 동형이었다 / 260909 S9 B-2 정정 — NC·SA 약어는 대조원 3종에 문면이 0건이므로 네 표시의 뜻을 문항 안에 표로 제시했다. 따라서 답을 가르는 것은 미관측 약어 지식이 아니라 제시된 뜻의 적용이다)	EX-info-20252M 선택 6	PASS
13	IN-19	함수는 인수를 매개변수로 받아 반환값을 호출한 자리로 돌려준다	구조: 함수 1개 → 2개, 한 함수의 반환값이 다른 함수의 인수가 됨	반환 경로: 단일 식 반환 → 정수 나눗셈으로 값이 절삭되는 반환	학습지 Quiz 8은 같은 함수를 두 번 불러 더하지만 이 문항은 반환값이 다음 호출의 인수로 들어가 호출 순서를 따라가야 하고 중간에 절삭이 일어난다	SUP-info-2026-01 p08 Quiz 8 · p04	PASS
14	IN-20	지역변수 대입은 전역변수를 바꾸지 못하고 global 선언이 있어야 바뀐다	제시 방식: 지역·전역 예제가 따로 놓인 두 코드 → 같은 전역 이름을 공유하는 하나의 프로그램	목표량: 각 코드의 출력 → 전역 최종값과 두 반환값의 3원 조합	학습지는 두 사례를 나란히 보여 주고 각각의 출력을 묻지만 이 문항은 두 함수가 같은 이름 count를 두고 경합해 반환값이 있어도 전역이 바뀌지 않는 쪽이 있다는 점을 봐야 한다	SUP-info-2026-01 p05	PASS
15	IN-21	재귀는 종료 조건에 닿을 때까지 자기를 부르며 반환값을 쌓는다	감소 폭: 항상 1씩 감소 → 분기에 따라 1 또는 2씩 감소	누적 방식: 모든 단계에서 더함 → 일부 단계는 더하지 않고 건너뜀	학습지 abc(n)은 1부터 n까지를 빠짐없이 더하지만 이 문항은 홀수 갈래가 값을 더하지 않고 두 칸 건너뛰어 더해지는 항이 연속이 아니고 호출 사슬의 길이도 달라진다	SUP-info-2026-01 p06 abc(n) · p05 fact(n)	PASS
16	IN-23	슬라이싱의 끝값은 포함되지 않으며, 인덱싱은 범위를 벗어나면 오류다	자극: 한 식의 결과 쓰기 → 다섯 식 중 오류가 나는 것 판별	대비 축: 범위 초과 인덱싱 하나 → 끝값이 길이와 같은 슬라이스와 범위 초과 인덱싱의 대비	학습지는 범위를 벗어난 접근을 물음표로 유도만 하지만 이 문항은 묻는 방향을 뒤집어 다섯 줄 중 오류가 나는 줄을 고르게 한다(260909 S9 L-1 정정 — 선지 ③을 s[2:9]에서 s[0:6]으로 바꿔, 자료에 없는 「범위 초과 슬라이싱은 오류가 아니다」 대신 관측된 「끝값 미포함」 규칙만으로 판정되게 했다)	SUP-info-2026-02 p02 · p04	PASS
17	IN-24	split()은 값을 문자열로 저장하고 map(int, ...)을 거쳐야 정수가 된다	지면 성격: 설명 전용(답란 0) → 문항화	초점: split의 저장 형태 서술 → map(int) 적용 여부에 따른 같은 입력의 결과 대조	학습지는 문자열로 저장된다는 사실을 적어만 두었고 이를 묻는 답란이 없었다; 이 문항은 같은 입력을 두 경로로 처리해 89와 17이 갈리게 함으로써 그 서술을 판정 가능한 형태로 바꾼다	SUP-info-2026-02 p01 설명(답란 0)	PASS
18	IN-25	목표 출력에서 조건식과 누적식을 역으로 결정한다	빈칸 위치: range 인자 → if 조건식과 누적식	해법 구조: 증감값으로 배수만 밟는 방식 → 모든 수를 돌며 나머지로 걸러 내는 방식	학습지 실습 1은 range 인자를 채워 3의 배수만 밟게 하지만 이 문항은 range를 고정하고 나머지 연산으로 걸러 내게 해 풀이 경로가 다르며 소재도 4의 배수로 옮겼다(재설계 260908 — 초안은 실습 1과 소재·해법이 겹쳤다)	SUP-info-2026-01 p02 실습 1 · EX-info-20252M 선택 8	PASS
19	IN-02	복합 대입은 오른쪽 식을 계산해 왼쪽 변수에 다시 넣는다	변수 구성: 한 변수의 연속 갱신 → 두 변수가 서로를 참조하며 갱신	목표량: 단일 값 → 두 변수의 최종 상태 쌍	기출은 a 하나가 두 번 바뀌는 직선 경로지만 이 문항은 b가 갱신된 a를 쓰고 그 뒤 a가 다시 바뀌어 갱신 순서를 뒤집으면 값이 어긋난다	EX-info-20252M 단답 1	PASS
20	IN-06	반복 중 조건이 참일 때만 누적이 일어난다	조건 대상: 반복 변수 i → 누적 변수 total 자신(자기 참조 조건)	목표량: 누적합 → 누적합과 누적이 일어난 횟수의 쌍	학습지 Quiz 4와 기출 8은 반복 변수의 성질로 누적 여부를 정하지만 이 문항은 누적 결과가 다음 반복의 조건이 되어 반복 횟수 12와 누적 횟수 6이 갈린다(재설계 260908 — 초안은 학습지 Quiz 4와 짝수합 빼기 홀수합 골격이 같았다)	SUP-info-2026-01 p07 Quiz 4 · EX-info-20252M 선택 8	PASS
21	IN-07	이중 반복에서 안쪽 블록은 바깥 반복마다 처음부터 다시 돈다	누적 대상: 반복 변수의 값 → 조건마다 증가량이 다른 가중 카운트	산출 형태: 조건을 만족한 (i, j) 쌍을 반복 안에서 그때그때 출력(열거) → 반복이 모두 끝난 뒤 누적 변수 하나만 출력(집계)	조건 결합: and로 묶인 하나의 조건 → 같은 변수를 각각 갱신하는 독립된 두 if. 아울러 두 range를 1~5로 넓혀 행별 기여를 [3,3,3,3,2]로 어긋나게 했다(260909 S9 A-7 수리 — 4×4에서는 행별 기여가 균일해 「1회분×4」라는 오답 방법이 정답 12를 산출했다)	SUP-info-2026-01 p07 Quiz 3 · EX-info-20252M 단답 5·7	PASS
22	IN-11	remove는 값이 같은 가장 앞의 원소 하나만 지우고 insert는 지정 자리에 끼운다	요구 행동: 한 리스트의 최종 상태 → 같은 두 조작의 순서만 바꾼 두 리스트의 비교	초점: 각 메서드의 기능 → 조작 순서가 결과를 바꾼다는 성질	기출 11번은 세 조작을 차례로 적용한 결과 하나를 묻지만 이 문항은 동일한 두 조작의 순서만 뒤바꿔 결과가 달라짐을 보이게 해 중복값 삭제가 어느 시점에 걸리는지 따지게 한다(재설계 260908 — 초안은 기출 11번과 조작 나열 구조가 겹쳤다)	EX-info-20252M 선택 11·15	PASS
23	IN-14	슬라이싱은 시작 인덱스부터 끝 인덱스 직전까지를 잘라낸다	방향: 정방향(슬라이스→문자열) → 역산(문자열→인덱스)	목표량: 문자열 → 인덱스 정수 쌍	기출 단답 4는 두 슬라이스를 전개해 이어 붙이지만 이 문항은 원하는 부분 문자열이 나오도록 두 인덱스를 역으로 정하게 해 끝값 미포함 규칙이 답의 성패를 직접 가른다	EX-info-20252M 단답 4	PASS
24	IN-15	2차원 리스트에서 첫 인덱스는 행, 둘째 인덱스는 열이다	방향: 인덱스→값 → 값→인덱스 역산	응답 형태: 단일 수치 → 두 소문항 모두 m[행][열] 표기, 뒤쪽은 최댓값 탐색이 한 단계 더 붙음	기출 단답 6은 주어진 인덱스의 값을 읽으면 끝이지만 이 문항은 값의 위치를 찾아 표기로 적게 해 행과 열을 뒤바꾸는 실수가 그대로 오답이 된다(260909 S9 A-13 반영 — 인덱스→값 그대로였던 (2)를 첫째 행 최댓값의 위치 찾기로 바꿔 두 소문항의 방향을 역산으로 통일했다)	EX-info-20252M 단답 6 · SUP-info-2026-02 p04	PASS
25	IN-22	2차원 리스트를 순회하며 조건을 만족하는 원소만 누적한다	순회 방식: 요소 순회(for row in a) → 인덱스 순회(i, j)	조건 구성: 원소 값 기준 단일 조건 → 두 인덱스의 상호 관계와 원소 값 조건의 결합	학습지 Quiz 5는 값이 기준 이상인지만 보고 기출 단답 7은 두 인덱스 각각의 나머지를 보지만 이 문항은 i와 j의 관계(대각선 제외)와 원소의 홀짝을 함께 걸어 위치 조건과 값 조건을 동시에 다룬다	SUP-info-2026-01 p08 Quiz 6 · SUP-info-2026-02 p05 Part 6 Quiz 5 · EX-info-20252M 단답 7	PASS
26	IN-26	반복이 한 번 돌 때마다 변수 상태를 표로 되짚는다	빈칸 위치: range 인자 → 표 안의 상태값	갱신 규칙: 단일 누적합 → 홀짝에 따라 곱셈과 덧셈으로 갈리는 갱신	학습지 실습 1~3은 range 인자를 채운 뒤 같은 누적식을 반복해 표를 채우지만 이 문항은 회차마다 갱신 연산 자체가 바뀌어 표의 각 칸이 직전 칸과 다른 규칙으로 계산된다	SUP-info-2026-01 p02 실습 1~3	PASS
