type_id	subject_code	unit_major	unit_minor	importance	status_code
SM2-32	math2	I.도형의방정식	4.도형의이동	★★	verified_aux
SM2-33	math2	I.도형의방정식	4.도형의이동	★★★	verified_aux
BI-01	science	물질과	규칙성	★★	verified
BI-02	science	생명시스템	> 유전자와 단백질(핵산)	★★★	verified
BI-03	science	생명시스템	> 유전자 발현(중심원리)	★★★	verified
BI-04	science	생명시스템	> 세포와 세포 소기관	★★★	verified
BI-05	science	생명시스템	> 세포막을 통한 물질 이동	★★★	verified
BI-06	science	생명시스템	> 물질대사와 효소	★★★	verified
BI-07	science	물질과	규칙성	★★	verified
CH-01	science	물질과	규칙성 > 원소의 주기성	★★★	verified
CH-02	science	물질과	규칙성 > 원자의 전자 배치	★★★	verified
CH-03	science	물질과	규칙성 > 화학 결합	★★★	verified
CH-04	science	물질과	규칙성 > 원소의 주기성(반응성)	★★	verified
CH-05	science	물질과	규칙성 > 규산염 광물 (지각 구성)	★★★	verified
CH-06	science	물질과	규칙성 > 구성 원소	★★	verified
ER-01	science	시스템과	상호작용 > 지구시스템(지권)	★★★	verified
ER-02	science	지구시스템(기권)	-	★★★	verified
ER-03	science	지구시스템(수권)	-	★★	verified
ER-04	science	지구시스템(판	구조론)	★★	verified
ER-05	science	지구시스템(물질	순환·상호작용)	★★★	verified
ER-06	science	지구시스템(에너지원·상호작용)	-	★★	verified
GB-01	science	과학의	기초 > 측정과 측정 표준 · 시간과 공간의 측정	★★	verified
GB-02	science	과학의	기초 > 측정 표준	★	verified
GB-03	science	과학의	기초 > 측정 표준	★	verified
GT-01	science	시스템	-	★★★	verified
GT-02	science	신소재와	반도체	★★★	verified
GT-03	science	신소재와	반도체	★★	verified
GT-04	science	과학의	기초 > 정보의 발생·전달, 신소재	★	verified
GT-05	science	신소재	-	★★	verified
MC-01	science	시스템과	상호작용 > 역학적 시스템(중력)	★★★	verified
MC-02	science	시스템과	상호작용 > 역학적 시스템(포물선 운동)	★★★	verified
MC-03	science	시스템과	상호작용 > 역학적 시스템(운동량·충격량)	★★★	verified
MC-04	science	시스템과	상호작용 > 역학적 시스템(충돌과 안전)	★★★	verified
MC-05	science	시스템과	상호작용 > 역학적 시스템(관성·평형)	★★	verified
MC-06	science	시스템과	상호작용 > 역학적 시스템(중력과 원운동)	★	verified
UN-01	science	물질과	규칙성 > 우주 초기의 원소 생성	★★★	verified
UN-02	science	물질과	규칙성 > 별의 진화와 원소 생성	★★★	verified
UN-03	science	물질과	규칙성 > 스펙트럼과 원소	★★	verified
UN-04	science	물질과	규칙성 > 지구와 생명체를 구성하는 원소	★★	verified
F-01	social	-	-	★★★	verified
F-02	social	-	-	★★★	verified
F-03	social	-	-	★★★	verified
F-04	social	-	-	★★★	verified
F-05	social	-	-	★★★	verified
F-06	social	-	-	★★	verified
F-07	social	-	-	★★★	verified
