item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
A/11	IN-22+IN-15+IN-04	첫 행은 2<4여서 5를 더하고 기준2. 둘째 행은 제외 후 기준6. 셋째 행은 3<6여서 7을 더하고 기준3.	이전 행의 값이 다음 행 기준	누적 대상과 기준 갱신 원소를 분리	이전 행의 값이 다음 행 기준 → 누적 대상과 기준 갱신 원소를 분리	corpus/SUP-info-2026-02/transcript.md / **Quiz 3**	BLOCKED
A/12	IN-02+IN-06+IN-11	각 회차의 (a,b)는 (4,3)→(1,6)→(3,4)이다. b는 갱신된 a가 아니라 old에 저장한 이전 a로 계산한다. trace는 각 회차의 새 a만 저장한다.	임시 변수에 보존한 이전 상태와 갱신된 현재 상태 구분	두 변수 사이의 상태 전달을 회차별 기록으로 연결	임시 변수에 보존한 이전 상태와 갱신된 현재 상태 구분 → 두 변수 사이의 상태 전달을 회차별 기록으로 연결	output/260910/260910_01_info_composite_a_questions_review.md / A2	BLOCKED
A/13	IN-19+IN-10+IN-13	첫 호출은 끝을 제외해 b=[8,2,5]. 두 번째도 끝을 제외해 [8,2], 합10. 원본 길이는4이다.	양끝 비교로 슬라이스 방향 결정	줄어든 결과에 동일 함수를 재적용	양끝 비교로 슬라이스 방향 결정 → 줄어든 결과에 동일 함수를 재적용	output/260908/260908_04_info_midterm_26.md / **7.**	BLOCKED
A/14	IN-14+IN-06+IN-01	k는 2→1→2. 이에 해당하는 C,B,C를 이어 붙인다. 이동량 자체를 인덱스로 읽지 않는다.	누적 이동을 나머지로 순환	수치 상태를 문자열 출력 위치로 변환	누적 이동을 나머지로 순환 → 수치 상태를 문자열 출력 위치로 변환	corpus/SUP-info-2026-02/transcript.md / **Quiz 4**	BLOCKED
A/15	IN-19+IN-04+IN-02	g(f(4))=g(6)=3. f(g(4))=f(8)=10. 호출 순서가 중간값과 분기를 동시에 바꾼다.	함수 순서를 교환한 두 경로 비교	중간값이 조건 경계를 넘는 구조	함수 순서를 교환한 두 경로 비교 → 중간값이 조건 경계를 넘는 구조	output/260908/260908_04_info_midterm_26.md / **13.**	BLOCKED
A/16	IN-15+IN-22+IN-11	각 행의 대각선값2,5,6을 먼저 value에 저장하고 끝값3,2,6을 더해 첫 열에 쓴다.	행 번호에 따라 참조 열이 변함	읽어 둔 대각선 값으로 다른 열을 갱신	행 번호에 따라 참조 열이 변함 → 읽어 둔 대각선 값으로 다른 열을 갱신	corpus/SUP-info-2026-01/transcript.md / **Quiz 7**	BLOCKED
A/17	IN-15+IN-11+IN-06+IN-09	이동은0→1, 1→1, 1→0, 0→1. 행은 출발 상태, 열은 도착 상태이므로 [0][1]만 두 번 증가한다. 각 상태의 단독 등장 횟수가 아니라 이웃한 두 상태의 관계를 센다.	이웃한 두 값으로 이차원 기록 위치를 결정	같은 상태 재등장과 상태 사이 이동의 빈도를 구분	이웃한 두 값으로 이차원 기록 위치를 결정 → 같은 상태 재등장과 상태 사이 이동의 빈도를 구분	output/260910/260910_02_info_composite_b_questions_review.md / B2	BLOCKED
A/18	IN-08+IN-01+IN-19	첫 호출은 5+7+2=14를 반환한다. 두 번째는 4+1=5. 반복에서 몫과 나머지는 서로 다른 역할이다.	몫으로 입력 축소하며 나머지 누적	축약된 결과를 다시 입력으로 사용	몫으로 입력 축소하며 나머지 누적 → 축약된 결과를 다시 입력으로 사용	output/260908/260908_04_info_midterm_26.md / **5.**	BLOCKED
A/19	IN-07+IN-09+IN-11+IN-02	첫 구간0~3을 뒤집으면 [4,3,2,1,5]. 이 상태에서 구간1~4의 3과5, 2와1을 교환하여 [4,5,1,2,3]. 두 번째 작업은 원본이 아니라 첫 작업 결과를 대상으로 한다.	임시 변수로 양끝 원소를 교환하며 구간을 축소	겹치는 두 구간의 변경을 순차 적용	임시 변수로 양끝 원소를 교환하며 구간을 축소 → 겹치는 두 구간의 변경을 순차 적용	output/260910/260910_02_info_composite_b_questions_review.md / B6	BLOCKED
A/20	IN-22+IN-15+IN-12	열0은1<4여서3, 열1은6<2가 거짓, 열2는3<8여서5를 넣는다.	행 우선 순회 대신 같은 열의 두 행 비교	조건 통과 열의 차이를 새 리스트로 구성	행 우선 순회 대신 같은 열의 두 행 비교 → 조건 통과 열의 차이를 새 리스트로 구성	corpus/SUP-info-2026-01/transcript.md / **Quiz 6**	BLOCKED
A/21	IN-19+IN-04+IN-06+IN-09	첫 호출은 need가1→2로 바뀐 뒤 중복1을 건너뛰고2를 만나3이 된다. 다음4가3보다 크므로3을 조기 반환한다. 둘째는 중복2를 건너뛰어 끝까지 검사하고4를 반환한다.	탐색 목표가 성공할 때마다 다음 값으로 변경	중복 건너뛰기와 빈틈 발견의 조기 반환을 구분	탐색 목표가 성공할 때마다 다음 값으로 변경 → 중복 건너뛰기와 빈틈 발견의 조기 반환을 구분	output/260910/260910_02_info_composite_b_questions_review.md / B3	BLOCKED
A/22	IN-11+IN-09+IN-06	out은 [1]→[1,2]→[1]→[]→[3]이다. 가운데2가 지워진 뒤1도 만나 지워진다. 빈 리스트에서는 and 앞 조건이 거짓이라 뒤 인덱스 접근을 하지 않는다.	삭제 결과가 다음 입력의 비교 대상을 바꿈	마지막 원소와 새 입력의 일치에 따라 삭제 또는 추가	삭제 결과가 다음 입력의 비교 대상을 바꿈 → 마지막 원소와 새 입력의 일치에 따라 삭제 또는 추가	corpus/EX-info-20252M/transcript.md / 선택15	BLOCKED
A/23	IN-06+IN-26+IN-04	누적값2,6,12,20. 처음10이상인 i=3만 first에 기록하며 i=4에서 덮어쓰지 않는다.	누적 중 최초 통과 회차를 별도 보존	최초 기록 조건과 최종 누적을 분리	누적 중 최초 통과 회차를 별도 보존 → 최초 기록 조건과 최종 누적을 분리	output/260908/260908_04_info_midterm_26.md / **20.**	BLOCKED
A/24	IN-08+IN-14+IN-03	ABBA의 양끝 A, 이어 BB의 양끝 B가 일치. 다음 문자열은 빈 문자열이므로 종료한다.	매 회차 양끝을 제거하는 입력 축소	길이에 따른 종료와 문자 관계 판정 결합	매 회차 양끝을 제거하는 입력 축소 → 길이에 따른 종료와 문자 관계 판정 결합	corpus/SUP-info-2026-01/transcript.md / **Quiz 12**	BLOCKED
A/25	IN-22+IN-13+IN-19	행별 점수는6,6,6. 엄격한 >만 갱신하므로 최초 행의 인덱스0과 점수6이 남는다.	행 평가함수의 값을 기준으로 순위 결정	동점에서 최초 선택을 유지하는 갱신 규칙	행 평가함수의 값을 기준으로 순위 결정 → 동점에서 최초 선택을 유지하는 갱신 규칙	corpus/SUP-info-2026-02/transcript.md / **Quiz 5 (고난이도)**	BLOCKED
